post_id,title,category,score,num_comments,author,url,collected_at
47704881,Vercel Claude Code plugin wants to read your prompt,technology,156,36,akshay2603,https://akshaychugh.xyz/writings/png/vercel-plugin-telemetry,20260409
47702541,A WebGPU Implementation of Augmented Vertex Block Descent,technology,74,5,juretriglav,https://github.com/jure/webphysics,20260409
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,133,128,kisamoto,https://braw.dev/blog/2026-04-06-reallocating-100-month-claude-spend/,20260409
47684811,One Brain to Query: Wiring a 60-Person Company into a Single Slack Bot,technology,20,25,meryll_dindin,https://merylldindin.com/thoughts/company-brain/,20260409
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,89,69,SirHound,https://cssstudio.ai,20260409
47702647,"Launch HN: Relvy (YC F24)  On-call runbooks, automated",entertainment,25,16,behat,https://www.relvy.ai,20260409
47701233,Claude mixes up who said what,technology,322,283,sixhobbits,https://dwyer.co.za/static/claude-mixes-up-who-said-what-and-thats-not-ok.html,20260409
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,127,42,willmeyers,https://ssta.willhelps.org,20260409
47663743,"Show HN: Moon simulator game, ray-casting",sports,77,15,JKCalhoun,https://mooncraft2000.com,20260409
47660434,C# in Unity 2026: Writing more modern code,technology,65,70,hacker_13,https://darkounity.com/blog/c-in-unity-2026-features-most-developers-still-dont-use,20260409
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,379,43,WerWolv,https://werwolv.net/posts/usb_for_sw_devs/,20260409
47687273,Git commands I run before reading any code,technology,2163,461,grepsedawk,https://piechowski.io/post/git-commands-before-reading-code/,20260409
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,379,359,chabons,https://ai.meta.com/blog/introducing-muse-spark-msl/?_fb_noscript=1,20260409
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,25,9,bjord,https://www.404media.co/fbi-extracts-suspects-deleted-signal-messages-saved-in-iphone-notification-database-2/,20260409
47704443,Study found that young adults have grown less hopeful and more angry about AI,technology,79,101,elsewhen,https://www.nytimes.com/2026/04/09/style/gen-z-ai-gallup-study.html,20260409
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,118,54,DamnInteresting,https://arstechnica.com/gadgets/2026/04/teardown-of-unreleased-lg-rollable-shows-why-rollable-phones-arent-a-thing/,20260409
47696035,John Deere to pay $99M in right-to-repair settlement,technology,355,117,CharlesW,https://www.thedrive.com/news/john-deere-to-pay-99-million-in-monumental-right-to-repair-settlement,20260409
47689237,US cities are axing Flock Safety surveillance technology,technology,730,411,giuliomagnifico,https://www.cnet.com/home/security/when-flock-comes-to-town-why-cities-are-axing-the-controversial-surveillance-technology/,20260409
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,59,17,meribold,https://github.com/meribold/btry,20260409
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,399,187,nickvec,https://nickvecchioni.github.io/thoughts/2026/04/08/anthropic-support-doesnt-exist/,20260409
47705383,CDC delays publishing report showing Covid vaccine benefits,entertainment,13,2,ceejayoz,https://www.washingtonpost.com/health/2026/04/09/covid-vaccine-report-delayed/,20260409
47696562,Show HN: Is Hormuz open yet?,entertainment,434,186,anonfunction,https://www.ishormuzopenyet.com/,20260409
47679121,Project Glasswing: Securing critical software for the AI era,technology,1506,812,Ryan5453,https://www.anthropic.com/glasswing,20260409
47704137,OpenAI pulls out of landmark £31B UK investment package,technology,11,5,mellosouls,https://www.theguardian.com/technology/2026/apr/09/openai-pulls-out-of-landmark-31bn-uk-investment,20260409
47694036,Show HN: Orange Juice  Small UX improvements that make HN easier to read,entertainment,128,144,latchkey,http://oj-hn.com/,20260409
47674606,Show HN: Unicode Steganography,technology,54,13,PatrickVuscan,https://steganography.patrickvuscan.com,20260409
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,59,11,rvitorper,https://github.com/rvitorper/go-bt,20260409
47698067,You Can Just Print an Air Purifier,technology,31,4,zdw,https://aftermath.site/3d-printing-air-purifier-corsi-rosenthal/,20260409
47703498,White-Collar Workers Are Rebelling Against AI  80% Refuse Adoption Mandates,technology,17,5,sarimkx,https://fortune.com/2026/04/09/ai-backlash-quiet-quitting-fobo-obsolete-white-collar-rebellion/,20260409
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,211,206,bundie,https://blog.railway.com/p/moving-railways-frontend-off-nextjs,20260409
47689165,"Show HN: I pipe free sports streams into Jellyfin  no ads, just HLS",sports,106,31,pruz,https://github.com/pcruz1905/hls-restream-proxy,20260409
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,technology,48,37,dreamsome,https://github.com/onesuper/tui-use,20260409
47689319,Show HN: Skrun  Deploy any agent skill as an API,technology,57,10,frizull,https://github.com/skrun-dev/skrun,20260409
47624572,A database of analog cameras that can be 3D printed,technology,165,26,thomasjb,https://printed.analogcamera.space/,20260409
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,105,56,indraneelpatil,https://indraneelpatil.github.io/blog/2026/robot-vacuum/,20260409
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,53,24,vkatluri,https://navimodo.com/,20260409
